t,mode,setL,setR,rpsL,rpsR,outL,outR,Kp,Ki,Kd,Vbat
4.590,FWD,1.200,1.200,0.000,-0.710,1.0000,1.0000,0.9000,0.0000,0.0500,
4.608,FWD,1.200,1.200,-0.445,-0.815,1.0000,1.0000,0.9000,0.0000,0.0500,
4.632,FWD,1.200,1.200,1.066,0.782,-1.0000,-1.0000,0.9000,0.0000,0.0500,
4.648,FWD,1.200,1.200,1.037,1.037,-0.3720,-1.0000,0.9000,0.0000,0.0500,
4.669,FWD,1.200,1.200,-0.145,-0.580,1.0000,1.0000,0.9000,0.0000,0.0500,
4.688,FWD,1.200,1.200,-0.145,-0.871,0.6187,1.0000,0.9000,0.0000,0.0500,
4.711,FWD,1.200,1.200,0.942,0.797,-1.0000,-1.0000,0.9000,0.0000,0.0500,
4.728,FWD,1.200,1.200,0.799,1.016,0.1288,-1.0000,0.9000,0.0000,0.0500,
4.749,FWD,1.200,1.200,-0.143,-0.642,1.0000,1.0000,0.9000,0.0000,0.0500,
4.769,FWD,1.200,1.200,0.294,-0.882,-0.8679,1.0000,0.9000,0.0000,0.0500,
4.789,FWD,1.200,1.200,0.579,0.796,-0.7466,-1.0000,0.9000,0.0000,0.0500,
4.809,FWD,1.200,1.200,-0.730,0.949,1.0000,-1.0000,0.9000,0.0000,0.0500,
4.829,FWD,1.200,1.200,-0.653,-0.725,0.7378,1.0000,0.9000,0.0000,0.0500,
4.849,FWD,1.200,1.200,0.797,-0.870,-1.0000,1.0000,0.9000,0.0000,0.0500,
4.869,FWD,1.200,1.200,0.725,0.725,-0.1291,-1.0000,0.9000,0.0000,0.0500,
4.888,FWD,1.200,1.200,-0.653,0.944,1.0000,-1.0000,0.9000,0.0000,0.0500,
4.909,FWD,1.200,1.200,-0.290,-0.725,-0.3042,1.0000,0.9000,0.0000,0.0500,
4.928,FWD,1.200,1.200,0.435,-0.871,-1.0000,1.0000,0.9000,0.0000,0.0500,
4.951,FWD,1.200,1.200,-0.287,0.717,1.0000,-1.0000,0.9000,0.0000,0.0500,
4.968,FWD,1.200,1.200,-0.588,0.955,1.0000,-1.0000,0.9000,0.0000,0.0500,
4.991,FWD,1.200,1.200,0.870,-0.653,-1.0000,1.0000,0.9000,0.0000,0.0500,
5.008,FWD,1.200,1.200,0.943,-0.943,-0.6879,1.0000,0.9000,0.0000,0.0500,
5.031,FWD,1.200,1.200,-0.508,0.653,1.0000,-1.0000,0.9000,0.0000,0.0500,
5.048,FWD,1.200,1.200,-0.508,1.016,0.8007,-1.0000,0.9000,0.0000,0.0500,
5.072,FWD,1.200,1.200,0.798,-0.653,-1.0000,1.0000,0.9000,0.0000,0.0500,
5.088,FWD,1.200,1.200,0.798,-0.943,-0.3759,1.0000,0.9000,0.0000,0.0500,
5.110,FWD,1.200,1.200,-0.363,0.653,1.0000,-1.0000,0.9000,0.0000,0.0500,
5.128,TURNR,0.900,-0.900,-0.217,0.942,-0.0945,-1.0000,0.9000,0.0000,0.0500,
5.149,TURNR,0.900,-0.900,0.508,-0.653,-1.0000,1.0000,0.9000,0.0000,0.0500,
5.169,TURNR,0.900,-0.900,-0.072,-0.858,1.0000,1.0000,0.9000,0.0000,0.0500,
5.190,TURNR,0.900,-0.900,-0.368,0.736,1.0000,-1.0000,0.9000,0.0000,0.0500,
5.209,TURNR,0.900,-0.900,1.009,1.009,-1.0000,-1.0000,0.9000,0.0000,0.0500,
5.229,TURNR,0.900,-0.900,0.945,-0.727,-0.6169,1.0000,0.9000,0.0000,0.0500,
5.248,TURNR,0.900,-0.900,-0.511,-0.875,1.0000,1.0000,0.9000,0.0000,0.0500,
5.269,TURNR,0.900,-0.900,-0.435,0.798,0.2763,-1.0000,0.9000,0.0000,0.0500,
5.289,TURNR,0.900,-0.900,0.870,0.943,-1.0000,-1.0000,0.9000,0.0000,0.0500,
