t,base,turn,setL,setR,rpsL,rpsR,uFFL,uFFR,uPIDL,uPIDR,outL,outR
2.771,1.800,1.000,0.800,2.800,1.166,2.696,0.3040,0.7640,-0.2096,0.2679,0.0944,0.8379
2.790,1.800,1.000,0.800,2.800,1.160,2.754,0.3040,0.7640,-0.2003,-0.1181,0.1037,0.7379
2.810,1.800,1.000,0.800,2.800,1.026,2.711,0.3040,0.7640,0.1983,0.1593,0.2037,0.8379
2.831,1.800,1.000,0.800,2.800,1.084,2.673,0.3040,0.7640,-0.3144,0.1728,0.1037,0.9368
2.851,1.800,1.000,0.800,2.800,1.170,2.778,0.3040,0.7640,-0.4373,-0.2511,0.0037,0.8368
2.870,1.800,1.000,0.800,2.800,1.017,2.760,0.3040,0.7640,0.2528,0.0713,0.1037,0.8353
2.890,1.800,1.000,0.800,2.800,1.010,2.741,0.3040,0.7640,-0.1085,0.0831,0.1955,0.8471
2.911,1.800,1.000,0.800,2.800,0.942,2.754,0.3040,0.7640,0.0840,-0.0047,0.2955,0.7593
2.932,1.800,1.000,0.800,2.800,1.110,2.776,0.3040,0.7640,-0.6073,-0.0421,0.1955,0.7219
2.952,1.800,1.000,0.800,2.800,1.149,2.682,0.3040,0.7640,-0.3071,0.3056,0.0955,0.8219
2.971,1.800,1.000,0.800,2.800,1.165,2.768,0.3040,0.7640,-0.2591,-0.1946,0.0449,0.7219
2.990,1.800,1.000,0.800,2.800,1.093,2.769,0.3040,0.7640,0.0049,0.0150,0.1449,0.7790
3.010,1.800,1.000,0.800,2.800,1.088,2.756,0.3040,0.7640,-0.1600,0.0590,0.1440,0.8230
3.030,1.800,1.000,0.800,2.800,1.051,2.733,0.3040,0.7640,-0.0589,0.0976,0.2440,0.8616
3.052,1.800,1.000,0.800,2.800,1.088,2.757,0.3040,0.7640,-0.2653,-0.0327,0.1440,0.7616
3.071,1.800,1.000,0.800,2.800,1.163,2.762,0.3040,0.7640,-0.4051,0.0079,0.0440,0.7719
3.091,1.800,1.000,0.800,2.800,1.096,2.775,0.3040,0.7640,-0.0085,-0.0170,0.1440,0.7470
3.116,1.800,1.000,0.800,2.800,1.045,2.743,0.3040,0.7640,-0.0212,0.1140,0.2440,0.8470
3.131,1.800,1.000,0.800,2.800,1.150,2.794,0.3040,0.7640,-0.4732,-0.1235,0.1440,0.7470
3.150,1.800,1.000,0.800,2.800,1.099,2.711,0.3040,0.7640,-0.0511,0.2603,0.2440,0.8470
3.172,1.800,1.000,0.800,2.800,1.158,2.677,0.3040,0.7640,-0.3612,0.1595,0.1440,0.9235
3.195,1.800,1.000,0.800,2.800,1.231,2.752,0.3040,0.7640,-0.4425,-0.1581,0.0440,0.8235
3.212,1.800,1.000,0.800,2.800,1.165,2.767,0.3040,0.7640,-0.0532,-0.0180,0.1440,0.7460
3.231,1.800,1.000,0.800,2.800,1.096,2.776,0.3040,0.7640,-0.0054,-0.0095,0.2440,0.7545
3.252,1.800,1.000,0.800,2.800,1.164,2.693,0.3040,0.7640,-0.3897,0.2732,0.1440,0.8545
3.271,1.800,1.000,0.800,2.800,1.181,2.780,0.3040,0.7640,-0.2715,-0.2056,0.0440,0.7545
3.291,1.800,1.000,0.800,2.800,1.098,2.709,0.3040,0.7640,0.0289,0.2312,0.1440,0.8545
3.311,1.800,1.000,0.800,2.800,1.164,2.763,0.3040,0.7640,-0.3812,-0.1132,0.0440,0.7545
3.330,1.800,1.000,0.800,2.800,1.093,2.769,0.3040,0.7640,0.0009,0.0053,0.1440,0.7693
3.350,1.800,1.000,0.800,2.800,1.020,2.768,0.3040,0.7640,0.0512,0.0220,0.2440,0.7860
3.371,1.800,1.000,0.800,2.800,1.023,2.775,0.3040,0.7640,-0.1407,-0.0047,0.1633,0.7593
3.391,1.800,1.000,0.800,2.800,1.159,2.753,0.3040,0.7640,-0.5572,0.0839,0.0633,0.8479
3.410,1.800,1.000,0.800,2.800,1.098,2.708,0.3040,0.7640,-0.0253,0.1678,0.1633,0.9318
3.430,1.800,1.000,0.800,2.800,1.023,2.776,0.3040,0.7640,0.0541,-0.1561,0.2633,0.8318
3.451,1.800,1.000,0.800,2.800,1.090,2.761,0.3040,0.7640,-0.3413,0.0627,0.1633,0.8267
3.472,1.800,1.000,0.800,2.800,1.162,2.686,0.3040,0.7640,-0.3969,0.2534,0.0633,0.9267
3.490,1.800,1.000,0.800,2.800,1.161,2.829,0.3040,0.7640,-0.2137,-0.3740,0.0903,0.8267
3.510,1.800,1.000,0.800,2.800,1.016,2.757,0.3040,0.7640,0.2330,0.2066,0.1903,0.9267
3.530,1.800,1.000,0.800,2.800,1.052,2.735,0.3040,0.7640,-0.2416,0.0943,0.0903,0.8583
3.551,1.800,1.000,0.800,2.800,1.087,2.754,0.3040,0.7640,-0.2604,-0.0202,0.0436,0.7583
3.570,1.800,1.000,0.800,2.800,1.023,2.704,0.3040,0.7640,0.0265,0.1833,0.1436,0.8583
3.590,1.800,1.000,0.800,2.800,0.951,2.779,0.3040,0.7640,0.0903,-0.1755,0.2436,0.7583
3.610,1.800,1.000,0.800,2.800,1.079,2.733,0.3040,0.7640,-0.4873,0.1563,0.1436,0.8583
3.630,1.800,1.000,0.800,2.800,1.091,2.691,0.3040,0.7640,-0.2049,0.1697,0.0991,0.9337
3.650,1.800,1.000,0.800,2.800,1.027,2.788,0.3040,0.7640,0.0227,-0.2367,0.1991,0.8337
